Source Group;Source;Souree A;Target group;Target;Target A;weight;p-value;error
Q1;Hybrid reality;2,5;Q3;Delete data after analysis;3,8;0,017;0,837;0,081
Q1;Hybrid reality;2,5;Q3;Publicly disclose data analysis results;2,9;0,118;0,144;0,08
Q1;Hybrid reality;2,5;Q3;Share data with others;2,5;0,022;0,784;0,081
Q1;Data ownership;3,1;Q3;Publicly disclose data analysis results;2,9;0,23;0,004;0,079
Q1;Microsoft co-pilot;2,3;Q3;Act upon received data;3,1;0,121;0,133;0,08
Q1;Microsoft co-pilot;2,3;Q3;Collect and store data;2,7;0,091;0,26;0,081
Q1;Microsoft co-pilot;2,3;Q3;Combine data with other data sources;3,2;0,024;0,77;0,081
Q1;Microsoft co-pilot;2,3;Q3;Declare why they need data;4;0,046;0,574;0,081
Q1;Microsoft co-pilot;2,3;Q3;Delete data after analysis;3,8;-0,037;0,649;0,081
Q1;Microsoft co-pilot;2,3;Q3;Publicly disclose data analysis results;2,9;-0,048;0,55;0,081
Q1;Microsoft co-pilot;2,3;Q3;Share data with others;2,5;-0,06;0,455;0,081
Q1;Microsoft co-pilot;2,3;Q3;Use AI to design your profile;2,4;-0,064;0,428;0,081
Q1;Data science;3;Q3;Publicly disclose data analysis results;2,9;0,203;0,011;0,079
Q1;Personal data;3,8;Q3;Collect and store data;2,7;0,096;0,236;0,08
Q1;Eye tracking;3,1;Q3;Publicly disclose data analysis results;2,9;0,167;0,038;0,08
Q1;GDPR;2,5;Q3;Publicly disclose data analysis results;2,9;0,227;0,005;0,079
Q1;Personal data;3,8;Q3;Delete data after analysis;3,8;0,101;0,21;0,08
Q1;Personal data;3,8;Q3;Publicly disclose data analysis results;2,9;0,177;0,028;0,08
Q1;Personal data;3,8;Q3;Share data with others;2,5;-0,004;0,956;0,081
Q1;Personal data;3,8;Q3;Use AI to design your profile;2,4;0,111;0,171;0,08
Q1;AI;3,7;Q3;Collect and store data;2,7;0,172;0,032;0,08
Q1;VR Glasses;3,6;Q3;Collect and store data;2,7;0,057;0,48;0,081
Q1;Data science;3;Q3;Collect and store data;2,7;0,17;0,034;0,08
Q1;Hybrid reality;2,5;Q3;Use AI to design your profile;2,4;-0,215;0,007;0,079
Q1;VR Glasses;3,6;Q3;Delete data after analysis;3,8;0,057;0,481;0,081
Q1;VR Glasses;3,6;Q3;Publicly disclose data analysis results;2,9;0,144;0,073;0,08
Q1;VR Glasses;3,6;Q3;Share data with others;2,5;-0,037;0,648;0,081
Q1;VR Glasses;3,6;Q3;Use AI to design your profile;2,4;0,126;0,119;0,08
Q1;AI;3,7;Q4;Me, I have recorded it;4,2;0,265;0,001;0,078
Q1;AI;3,7;Q4;The mobile device producer;1,8;-0,138;0,088;0,08
Q1;Chat GPT;3,9;Q4;Me, I have recorded it;4,2;0,233;0,004;0,079
Q1;AI;3,7;Q4;The state;1,6;-0,089;0,268;0,081
Q1;AI;3,7;Q4;Whoever was recorded;2,9;0,117;0,145;0,08
